"","plot","sp","cover","accepted_name"
"48","A126","Symphyotrichumshortii",5,"Symphyotrichum shortii"
"49","A126","Violasp.",5,"Viola"
"50","A126","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"51","A126","Geraniummaculatum",2,"Geranium maculatum"
"52","A126","Galiumtriflorum",2,"Galium triflorum"
"53","A126","Ranunculussp.",2,"Ranunculus"
"54","A126","Erythroniumalbidum",5,"Erythronium albidum"
"55","A126","Geumcanadense",2,"Geum canadense"
"56","A126","Acersaccharum",5,"Acer saccharum"
"57","A128","Symphyotrichumshortii",10,"Symphyotrichum shortii"
"58","A128","Agrimoniapubescens",10,"Agrimonia pubescens"
"59","A128","Geumcanadense",5,"Geum canadense"
"60","A128","Erythroniumalbidum",5,"Erythronium albidum"
"61","A128","Alliumcanadense",3,"Allium canadense"
"62","A131","Maianthemumracemosum",2,"Maianthemum racemosum"
"63","A131","Parthenocissusquinquefolia",2,"Parthenocissus quinquefolia"
"64","A131","Toxicodendronradicans",2,"Toxicodendron radicans"
"65","A133","Taraxacumofficinale",5,"Taraxacum officinale"
"66","A133","Rhamnuscathartica",4,"Rhamnus cathartica"
"67","A133","Geumcanadense",8,"Geum canadense"
"68","A133","Hackeliavirginiana",4,"Hackelia virginiana"
"69","A133","Rubusoccidentalis",4,"Rubus occidentalis"
"70","A133","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"71","A133","Galiumtriflorum",4,"Galium triflorum"
"72","A133","Eupatoriumsp.",2,"Eupatorium"
"73","A133","Maianthemumracemosum",2,"Maianthemum racemosum"
"74","A133","Solidagoaltissima",2,"Solidago canadensis"
"75","A135","Hackeliavirginiana",3,"Hackelia virginiana"
"76","A135","Solidagoaltissima",8,"Solidago canadensis"
"77","A135","Rubusoccidentalis",8,"Rubus occidentalis"
"78","A135","Taraxacumofficinale",6,"Taraxacum officinale"
"79","A135","Violasororia",4,"Viola sororia"
"80","A135","Sonchusarvensis",4,"Sonchus arvensis"
"81","A135","Agrimoniapubescens",2,"Agrimonia pubescens"
"82","A135","Rhamnuscathartica",2,"Rhamnus cathartica"
"83","A135","Loniceramaackii",2,"Lonicera maackii"
"84","A135","Morusalba",2,"Morus alba"
"85","A135","Fraxinussp.",2,"Fraxinus"
"86","AA114","Dactylisglomerata",3,"Dactylis glomerata"
"87","AA114","Sanguinariacanadensis",1,"Sanguinaria canadensis"
"88","AA114","Erythroniumalbidum",1,"Erythronium albidum"
"89","AA114","Cerastriumsp.",2,"Cerastium"
"90","AA114","Claytoniavirginica",1,"Claytonia virginica"
"91","AA114","Compositesp.",2,""
"92","AA116","Podophyllumpeltatum",10,"Podophyllum peltatum"
"93","AA116","Claytoniavirginica",36,"Claytonia virginica"
"94","AA116","Alliariapetiolata",4,"Alliaria petiolata"
"95","AA116","Circaealutetiana",1,"Circaea lutetiana"
"96","AA116","Acersaccharum",4,"Acer saccharum"
"97","AA117","Carexpensylvanica",2,"Carex pensylvanica"
"98","AA117","Carexsp.",7,"Carex"
"99","AA117","Podophyllumpeltatum",7,"Podophyllum peltatum"
"100","AA117","Claytoniavirginica",20,"Claytonia virginica"
"101","AA117","Erythroniumalbidum",15,"Erythronium albidum"
"102","AA117","Geraniummaculatum",5,"Geranium maculatum"
"103","AA117","Galiumaparine",13,"Galium aparine"
"104","AA117","Ostryavirginiana",7,"Ostrya virginiana"
"105","AA117","Anemonequinquefolia",2,"Anemone quinquefolia"
"106","AA117","Acersaccharum",4,"Acer saccharum"
"107","AA117","Anemonellathalictroides",2,"Anemonella thalictroides"
"108","AA117","Oxalisstricta",5,"Oxalis stricta"
"109","AA117","Sanguinariacanadensis",2,"Sanguinaria canadensis"
"110","AA117","Cardamineconcatenata",4,"Cardamine concatenata"
"111","AA117","Geumcanadense",2,"Geum canadense"
"112","AA117","Unidentified",2,""
"113","AA117","Solidagocanadensis",3,"Solidago canadensis"
"114","AA118","Alliumcanadense",15,"Allium canadense"
"115","AA118","Erythroniumalbidum",15,"Erythronium albidum"
"116","AA118","Anemonequinquefolia",2,"Anemone quinquefolia"
"117","AA118","Claytoniavirginica",2,"Claytonia virginica"
"118","AA118","Impatienssp.",2,"Impatiens"
"119","AA118","Cardamineconcatenata",1,"Cardamine concatenata"
"120","AA118","Geumcanadense",3,"Geum canadense"
"121","AA118","Alliariapetiolata",2,"Alliaria petiolata"
"122","AA118","Floerkeaproserpinacoides",17,"Floerkea proserpinacoides"
"123","AA118","Erythroniumalbidum",7,"Erythronium albidum"
"124","AA118","Smilacinaracemosa",3,"Maianthemum racemosum"
"125","AA118","Claytoniavirginica",30,"Claytonia virginica"
"126","AA118","Alliariapetiolata",20,"Alliaria petiolata"
"127","AA118","Acersaccharum",5,"Acer saccharum"
"128","AA118","Cardamineconcatenata",15,"Cardamine concatenata"
"129","AA125","Floerkeaproserpinacoides",25,"Floerkea proserpinacoides"
"130","AA125","Impatienssp.",35,"Impatiens"
"131","AA125","Erythroniumalbidum",8,"Erythronium albidum"
"132","AA125","Parthenocissusquinquefolia",6,"Parthenocissus quinquefolia"
"133","AA125","Galiumaparine",2,"Galium aparine"
"134","AA125","Geumcanadense",3,"Geum canadense"
"135","AA125","Claytoniavirginica",4,"Claytonia virginica"
"136","AA125","Asarumcanadense",4,"Asarum canadense"
"137","AA125","Solidagoflexicaulis",2,"Solidago flexicaulis"
"138","AA125","Hydrophyllumappendiculatum",2,"Hydrophyllum appendiculatum"
"139","AA129","Floerkeaproserpinacoides",2,"Floerkea proserpinacoides"
"140","AA141","Coronillavaria",2,"Securigera varia"
"141","AA141","Toralossp.",25,"Torilis"
"142","AA141","Cirsiumarvense",10,"Cirsium arvense"
"143","AA141","Bidenssp.",3,"Bidens"
"144","AA141","Unk.Grass",1,""
"145","AA141","Convovulussp.",1,"Convolvulus"
"146","AA141","Galiumaparine",3,"Galium aparine"
"147","AA95","Geraniummaculatum",20,"Geranium maculatum"
"148","AA95","Trilliumrecurvatum",10,"Trillium recurvatum"
"149","AA95","Smilacinaracemosa",10,"Maianthemum racemosum"
"150","AA95","Alliumcanadense",8,"Allium canadense"
"151","AA95","Claytoniavirginica",5,"Claytonia virginica"
"152","AA95","Osmorhizasp.",7,"Osmorhiza"
"153","AA95","Impatienssp.",2,"Impatiens"
"154","AA95","Circaealutetiana",2,"Circaea lutetiana"
"155","AA95","Arisaematriphyllum",3,"Arisaema triphyllum"
"156","AA95","Parthenocissusquinquefolia",2,"Parthenocissus quinquefolia"
"157","AA95","Alliumtricoccum",3,"Allium tricoccum"
"158","AA95","Eupatoriumrugosum",1,"Ageratina altissima"
"159","AA95","Erythroniumalbidum",2,"Erythronium albidum"
"160","AA95","Geumcanadense",2,"Geum canadense"
"161","AA95","Ulmusrubra",2,"Ulmus rubra"
"162","AX131","Phalarisarundinacea",25,"Phalaris arundinacea"
"163","AX132","Alliumvineale",8,"Allium vineale"
"164","AX132","Phalarisarundinacea",2,"Phalaris arundinacea"
"165","AX132","Alliumcanadense",10,"Allium canadense"
"166","AX132","Pastinacasativa",2,"Pastinaca sativa"
"167","AX132","Poapratensis",2,"Poa pratensis"
"168","AX132","Coronillavaria",4,"Securigera varia"
"169","AY122","Poapratensis",60,"Poa pratensis"
"170","AY122","Calamintavulgaris",10,"Clinopodium vulgare"
"171","AY122","Monardafistulosa",2,"Monarda fistulosa"
"172","AY122","Alliumcanadense",2,"Allium canadense"
"173","AY122","Carexsp.",2,"Carex"
"174","AY124","Hydrophyllumvirginianum",2,"Hydrophyllum virginianum"
"175","AY124","Erythroniumalbidum",6,"Erythronium albidum"
"176","AY124","Cardamineconcatenata",5,"Cardamine concatenata"
"177","AY124","Alliumcanadense",4,"Allium canadense"
"178","AY124","Carexblanda",2,"Carex blanda"
"179","AY124","Loniceramaackii",5,"Lonicera maackii"
"180","AY127","Trilliumrecurvatum",10,"Trillium recurvatum"
"181","AY127","Coronillavaria",20,"Securigera varia"
"182","AY127","Phalarisarundinacea",6,"Phalaris arundinacea"
"183","AY127","Dactylisglomerata",25,"Dactylis glomerata"
"184","AY127","Dipsacusfullonum",2,"Dipsacus fullonum"
"185","AY127","Erythroniumalbidum",6,"Erythronium albidum"
"186","AY127","Carexpensylvanica",6,"Carex pensylvanica"
"187","AY127","Rosasp.",2,"Rosa"
"188","AY127","Fragariavirginiana",2,"Fragaria virginiana"
"189","AY127","Poapratensis",4,"Poa pratensis"
"190","AY130","Erythroniumalbidum",30,"Erythronium albidum"
"191","AY130","Cirsiumvulgare",2,"Cirsium vulgare"
"192","AY130","Circaealutetiana",2,"Circaea lutetiana"
"193","AZ133","Ulmusamericana",4,"Ulmus americana"
"194","AZ133","Rubusoccidentalis",5,"Rubus occidentalis"
"195","AZ133","Maianthemumracemosum",3,"Maianthemum racemosum"
"196","AZ133","Loniceramaackii",6,"Lonicera maackii"
"197","AZ133","Prunusvirginiana",2,"Prunus virginiana"
"198","AZ133","Taraxacumofficinale",1,"Taraxacum officinale"
"199","AZ133","Erythroniumalbidum",2,"Erythronium albidum"
"200","AZ138","Festucaelatior",15,"Festuca arundinacea"
"201","AZ138","Carexsp.",8,"Carex"
"202","AZ138","Alliumvineale",4,"Allium vineale"
"203","AZ138","Elymusvillosus",6,"Elymus villosus"
"204","AZ138","Taraxacumofficinale",3,"Taraxacum officinale"
"205","AZ138","Poapratensis",3,"Poa pratensis"
"206","AZ138","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"207","AZ138","Symphyotrichumdrummondii",1,"Symphyotrichum drummondii"
"208","B109","Cacaliaatriplicifolia",1,"Arnoglossum atriplicifolium"
"209","B109","Schizachyriumscoparium",15,"Schizachyrium scoparium"
"210","B109","Solidagoaltissima",5,"Solidago canadensis"
"211","B109","Monardafistulosa",4,"Monarda fistulosa"
"212","B109","Daucuscarota",1,"Daucus carota"
"213","B109","Bromusinermis",1,"Bromus inermis"
"214","B109","Poapratensis",5,"Poa pratensis"
"215","B109","Parthenocissusquinquefolia",1,"Parthenocissus quinquefolia"
"216","B109","Symphyotrichumsp.",1,"Symphyotrichum"
"217","B109","Symphyotrichumnovae-angliae",1,"Symphyotrichum novae-angliae"
"218","B109","Achilleamillefolium",1,"Achillea millefolium"
"219","B109","Plantagolanceolata",1,"Plantago lanceolata"
"220","B109","Symphyotrichumdrummondii",1,"Symphyotrichum drummondii"
"221","B127","Symphyotrichumshortii",8,"Symphyotrichum shortii"
"222","B127","Cardamineconcatenata",8,"Cardamine concatenata"
"223","B127","Anemonellathalictroides",15,"Anemonella thalictroides"
"224","B127","Erythroniumalbidum",2,"Erythronium albidum"
"225","B127","Alliumcanadense",3,"Allium canadense"
"226","B127","Impatienssp.",2,"Impatiens"
"227","B127","Solidagoulmifolia",2,"Solidago ulmifolia"
"228","B127","Agrimoniapubescens",2,"Agrimonia pubescens"
"229","B127","Galiumaparine",2,"Galium aparine"
"230","B128","Cardamineconcatenata",15,"Cardamine concatenata"
"231","B128","Symphyotrichumdrummondii",10,"Symphyotrichum drummondii"
"232","B128","Erythroniumalbidum",2,"Erythronium albidum"
"233","B128","Rubusoccidentalis",5,"Rubus occidentalis"
"234","B128","Carexsp.",2,"Carex"
"235","B128","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"236","B128","Impatienssp.",2,"Impatiens"
"237","B128","Circaealutetiana",2,"Circaea lutetiana"
"238","B128","Geumcanadense",2,"Geum canadense"
"239","B128","Saniculagregaria",2,"Sanicula odorata"
"240","B128","Galiumaparine",2,"Galium aparine"
"241","B128","Solidagoulmifolia",5,"Solidago ulmifolia"
"242","B138","Bromusinermis",30,"Bromus inermis"
"243","B138","Poapratensis",15,"Poa pratensis"
"244","B138","Alliumvineale",25,"Allium vineale"
"245","B138","Calamintavulgaris",12,"Clinopodium vulgare"
"246","BB107","Taraxacumofficinale",5,"Taraxacum officinale"
"247","BB107","Dactylisglomerata",11,"Dactylis glomerata"
"248","BB107","Solidagoulmifolia",40,"Solidago ulmifolia"
"249","BB107","Daucuscarota",3,"Daucus carota"
"250","BB107","Alliariapetiolata",2,"Alliaria petiolata"
"251","BB107","Circaealutetiana",2,"Circaea lutetiana"
"252","BB107","Agrononiasp.",3,"Agrimonia"
"253","BB107","Symphyotrichumdrummondii",5,"Symphyotrichum drummondii"
"254","BB115","Fragariavirginiana",7,"Fragaria virginiana"
"255","BB115","Solidagoaltissima",30,"Solidago canadensis"
"256","BB115","Monardafistulosa",3,"Monarda fistulosa"
"257","BB115","Parthenocissusquinquefolia",1,"Parthenocissus quinquefolia"
"258","BB115","Rhamnuscathartica",1,"Rhamnus cathartica"
"259","BB115","Ambrosiaartemisiifolia",1,"Ambrosia artemisiifolia"
"260","BB115","Poapratensis",15,"Poa pratensis"
"261","BB115","Taraxacumofficinale",1,"Taraxacum officinale"
"262","BB115","Apocynumcannabinum",1,"Apocynum cannabinum"
"263","BB115","Trifoliumpratense",1,"Trifolium pratense"
"264","BB115","Daucuscarota",1,"Daucus carota"
"265","BB115","Ambrosiaartemisiifolia",1,"Ambrosia artemisiifolia"
"266","BB115","Smilaxsp.",1,"Smilax"
"267","BB116","Dicentracucullaria",15,"Dicentra cucullaria"
"268","BB116","Solidagoflexicaulis",5,"Solidago flexicaulis"
"269","BB116","Smilacinaracemosa",7,"Maianthemum racemosum"
"270","BB116","Alliariapetiolata",2,"Alliaria petiolata"
"271","BB116","Impatienscapensis",1,"Impatiens capensis"
"272","BB116","Erythroniumalbidum",8,"Erythronium albidum"
"273","BB116","Claytoniavirginica",10,"Claytonia virginica"
"274","BB116","Anemonequinquefolia",2,"Anemone quinquefolia"
"275","BB116","Alliumtricoccum",3,"Allium tricoccum"
"276","BB116","Acersaccharum",1,"Acer saccharum"
"277","BB118","Floerkeaproserpinacoides",5,"Floerkea proserpinacoides"
"278","BB118","Hydrophyllumvirginianum",30,"Hydrophyllum virginianum"
"279","BB118","Ranunculushispidus",1,"Ranunculus hispidus"
"280","BB121","Hydrophyllumappendiculatum",4,"Hydrophyllum appendiculatum"
"281","BB121","Dicentracucullaria",5,"Dicentra cucullaria"
"282","BB121","Asarumcanadense",20,"Asarum canadense"
"283","BB121","Impatienssp.",15,"Impatiens"
"284","BB121","Clematisvirginiana",15,"Clematis virginiana"
"285","BB121","Galiumaparine",5,"Galium aparine"
"286","BB121","Cardamineconcatenata",3,"Cardamine concatenata"
"287","BB121","Carexsp.#1",3,"Carex"
"288","BB121","Carexsp.#2",2,"Carex"
"289","BB121","Floerkeaproserpinacoides",2,"Floerkea proserpinacoides"
"290","BB121","Alliariapetiolata",2,"Alliaria petiolata"
"291","BB121","Ribessp.",1,"Ribes"
"292","BB121","Oxalisstricta",1,"Oxalis stricta"
"293","BB121","Acersaccharum",2,"Acer saccharum"
"294","BB140","Acersaccharum",1,"Acer saccharum"
"295","BB140","Ranunculussp.",1,"Ranunculus"
"296","BB140","Ranunculusficaria",NA,"Ficaria verna"
"297","BB141","Taraxacumofficinale",8,"Taraxacum officinale"
"298","BB141","Geumcanadense",20,"Geum canadense"
"299","BB141","Torilisjaponica",6,"Torilis japonica"
"300","BB141","Arctiumminus",4,"Arctium minus"
"301","BB141","Fragariavirginiana",2,"Fragaria virginiana"
"302","BB141","Unk.Forb",2,""
"303","BB141","Loniceramaackii",12,"Lonicera maackii"
"304","BB141","Ambrosiatrifida",1,"Ambrosia trifida"
"305","BB141","Rosamultiflora",3,"Rosa multiflora"
"306","BB141","Parthenocissusquinquefolia",1,"Parthenocissus quinquefolia"
"307","BB141","Alliariapetiolata",2,"Alliaria petiolata"
"308","BB141","Daucuscarota",1,"Daucus carota"
"309","BB141","Oxalissp.",1,"Oxalis"
"310","BB141","Solidagocanadensis",1,"Solidago canadensis"
"311","BB144","Circaealutetiana",8,"Circaea lutetiana"
"312","BB144","Parthenocissusquinquefolia",4,"Parthenocissus quinquefolia"
"313","BB144","Rhamnuscathartica",1,"Rhamnus cathartica"
"314","BB144","Unk.Vine",2,""
"315","BB84","Erythroniumalbidum",15,"Erythronium albidum"
"316","BB84","Smilacinaracemosa",5,"Maianthemum racemosum"
"317","BB84","Eupatoriumrugosum",2,"Ageratina altissima"
"318","BB84","Impatienssp.",3,"Impatiens"
"319","BB84","Circaealutetiana",3,"Circaea lutetiana"
"320","BB84","Claytoniavirginica",2,"Claytonia virginica"
"321","BB84","Parthenocissusquinquefolia",3,"Parthenocissus quinquefolia"
"322","BB84","Anemonellathalictroides",1,"Anemonella thalictroides"
"323","BB92","Alliariapetiolata",3,"Alliaria petiolata"
"324","BB92","Circaealutetiana",7,"Circaea lutetiana"
"325","BB92","Solidagoulmifolia",3,"Solidago ulmifolia"
"326","BB92","Erythroniumalbidum",7,"Erythronium albidum"
"327","BB92","Asterlateriflorus",3,"Symphyotrichum lateriflorum"
"328","BB92","Claytoniavirginica",3,"Claytonia virginica"
"329","BB92","Impatienssp.",2,"Impatiens"
"330","BB92","Galiumaparine",2,"Galium aparine"
"331","BB92","Eupatoriumrugosum",2,"Ageratina altissima"
"332","BB92","Ostryavirginiana",1,"Ostrya virginiana"
"333","BB92","Potentillasimplex",3,"Potentilla simplex"
"334","BB92","Carexsp.",3,"Carex"
"335","BB92","Polygonumvirginianum",2,"Polygonum virginianum"
"336","BB92","Geraniummaculatum",2,"Geranium maculatum"
"337","BB92","Arisaematriphyllum",1,"Arisaema triphyllum"
"338","C105","Helianthusgrosseserratus",35,"Helianthus grosseserratus"
"339","C105","Daucuscarota",4,"Daucus carota"
"340","C105","Solidagoaltissima",15,"Solidago canadensis"
"341","C105","Agrimoniasp.",1,"Agrimonia"
"342","C105","Cirsiumsp.",1,"Cirsium"
"343","C105","Achilleamillefolium",1,"Achillea millefolium"
"344","C105","Barbareavulgaris",1,"Barbarea vulgaris"
"345","C105","Unidentifiedgrass",20,""
"346","C105","Galiumaparine",1,"Galium aparine"
"347","C111","Helianthussp.",60,"Helianthus"
"348","C111","Smilacinaracemosa",2,"Maianthemum racemosum"
"349","C120","Loniceramaackii",10,"Lonicera maackii"
"350","C120","Erythroniumalbidum",10,"Erythronium albidum"
"351","C120","Rosamultiflora",2,"Rosa multiflora"
"352","C120","Osmorhizaclaytoniana",1,"Osmorhiza claytonii"
"353","C120","Impatienssp.",2,"Impatiens"
"354","C120","Rhamnuscathartica",4,"Rhamnus cathartica"
"355","C120","Ambrosiatrifida",2,"Ambrosia trifida"
"356","C123","Solidagoulmifolia",4,"Solidago ulmifolia"
"357","C123","Symphyotrichumshortii",2,"Symphyotrichum shortii"
"358","C123","Erythroniumalbidum",6,"Erythronium albidum"
"359","C123","Galiumtriflorum",2,"Galium triflorum"
"360","C123","Cardamineconcatenata",2,"Cardamine concatenata"
"361","C123","Geumcanadense",6,"Geum canadense"
"362","C123","Claytoniavirginica",4,"Claytonia virginica"
"363","C123","Polemoniumreptans",4,"Polemonium reptans"
"364","C123","Rubusallegheniensis",5,"Rubus allegheniensis"
"365","C123","Hackeliavirginiana",2,"Hackelia virginiana"
"366","C123","Ulmusamericana",2,"Ulmus americana"
"367","C125","Symphyotrichumdrummondii",10,"Symphyotrichum drummondii"
"368","C125","Carexsp.",20,"Carex"
"369","C125","Geraniummaculatum",5,"Geranium maculatum"
"370","C125","Cardamineconcatenata",7,"Cardamine concatenata"
"371","C125","Erythroniumalbidum",4,"Erythronium albidum"
"372","C125","Hydrophyllumvirginianum",3,"Hydrophyllum virginianum"
"373","C125","Alliumcanadense",5,"Allium canadense"
"374","C125","Potentillasimplex",2,"Potentilla simplex"
"375","C125","Rubusallegheniensis",3,"Rubus allegheniensis"
"376","C125","Toxicodendronradicans",2,"Toxicodendron radicans"
"377","C125","Hackeliavirginiana",2,"Hackelia virginiana"
"378","C125","Impatienssp.",2,"Impatiens"
"379","C127","Cardamineconcatenata",10,"Cardamine concatenata"
"380","C127","Geumcanadense",5,"Geum canadense"
"381","C127","Erythroniumalbidum",4,"Erythronium albidum"
"382","C127","Trilliumrecurvatum",15,"Trillium recurvatum"
"383","C127","Alliumcanadense",2,"Allium canadense"
"384","C127","Saniculagregaria",2,"Sanicula odorata"
"385","C127","Impatienssp.",2,"Impatiens"
"386","C127","Circaealutetiana",2,"Circaea lutetiana"
"387","C127","Solidagoaltissima",2,"Solidago canadensis"
"388","C127","Polemoniumreptans",2,"Polemonium reptans"
"389","CC109","Composite",6,""
"390","CC109","Symphyotrichumdrummondii",3,"Symphyotrichum drummondii"
"391","CC109","Elymushystrix",1,"Elymus hystrix"
"392","CC109","Galiumtriflorum",1,"Galium triflorum"
"393","CC109","Circaealutetiana",1,"Circaea lutetiana"
"394","CC109","Fragariavirginiana",1,"Fragaria virginiana"
"395","CC109","Smilacinaracemosa",1,"Maianthemum racemosum"
"396","CC109","Cerastriumsp.",1,"Cerastium"
"397","CC109","Rubussp.",1,"Rubus"
"398","CC110","Ranunculushispidus",8,"Ranunculus hispidus"
"399","CC110","Fragariavirginiana",2,"Fragaria virginiana"
"400","CC110","Geumcanadense",1,"Geum canadense"
"401","CC110","Symphyotrichumdrummondii",1,"Symphyotrichum drummondii"
"402","CC110","Eupatoriumrugosum",1,"Ageratina altissima"
"403","CC110","Smilacinaracemosa",1,"Maianthemum racemosum"
"404","CC110","Fragariavirginiana",1,"Fragaria virginiana"
"405","CC110","Claytoniavirginica",1,"Claytonia virginica"
"406","CC110","Galiumtriflorum",1,"Galium triflorum"
"407","CC110","Elymushystrix",1,"Elymus hystrix"
"408","CC110","Composite",5,""
"409","CC110","Loniceratatarica",1,"Lonicera tatarica"
"410","CC110","Rhamnuscathartica",1,"Rhamnus cathartica"
"411","CC110","Lactucasp.",1,"Lactuca"
"412","CC110","Potentillasimplex",1,"Potentilla simplex"
"413","CC110","Galiumcircaezans",1,"Galium circaezans"
"414","CC110","Circaealutetiana",1,"Circaea lutetiana"
"415","CC110","Symphyotrichumdrummondii",5,"Symphyotrichum drummondii"
"416","CC123","Erythroniumalbidum",20,"Erythronium albidum"
"417","CC123","Floerkeaproserpinacoides",25,"Floerkea proserpinacoides"
"418","CC123","Claytoniavirginica",15,"Claytonia virginica"
"419","CC123","Carexsp.",6,"Carex"
"420","CC123","Impatienssp.",2,"Impatiens"
"421","CC123","Alliariapetiolata",35,"Alliaria petiolata"
"422","CC123","Circaealutetiana",3,"Circaea lutetiana"
"423","CC123","Acersaccharum",4,"Acer saccharum"
"424","CC132","Alliariapetiolata",10,"Alliaria petiolata"
"425","CC138","Impatienssp.",2,"Impatiens"
"426","CC138","Bidensfrondosa",2,"Bidens frondosa"
"427","CC138","Ranunculusficaria",4,"Ficaria verna"
"428","CC138","Toxicondendronradicans",2,"Toxicodendron radicans"
"429","CC138","Convovulussp.",1,"Convolvulus"
"430","CC138","Solidago.Sp.",4,"Solidago"
"431","CC138","Poacompressa",2,"Poa compressa"
"432","CC138","Taraxacumofficinale",1,"Taraxacum officinale"
"433","CC138","Polygonum.Sp.",1,"Polygonum"
"434","CC144","Circaealutetiana",1,"Circaea lutetiana"
"435","CC144","Parthenocissusquinquefolia",4,"Parthenocissus quinquefolia"
"436","CC144","Alliariapetiolata",1,"Alliaria petiolata"
"437","CC86","Galiumtriflorum",3,"Galium triflorum"
"438","CC86","Geumcanadense",20,"Geum canadense"
"439","CC86","Solidagoaltissima",5,"Solidago canadensis"
"440","CC86","Eupatoriumrugosum",5,"Ageratina altissima"
"441","CC86","Hackeliavirginiana",2,"Hackelia virginiana"
"442","CC86","Claytoniavirginica",1,"Claytonia virginica"
"443","CC86","Circaealutetiana",3,"Circaea lutetiana"
"444","CC86","Pteleatrifoliata",3,"Ptelea trifoliata"
"445","CC86","Osmorhizasp.",1,"Osmorhiza"
"446","CC86","Solidagoulmifolia",3,"Solidago ulmifolia"
"447","CC86","Ostryavirginiana",0,"Ostrya virginiana"
"448","CC96","Erythroniumalbidum",65,"Erythronium albidum"
"449","CC96","Impatienssp.",7,"Impatiens"
"450","CC96","Phloxdivaricata",5,"Phlox divaricata"
"451","CC96","Eupatoriumrugosum",2,"Ageratina altissima"
"452","CC96","Osmorhizasp.",3,"Osmorhiza"
"453","CC96","Circaealutetiana",10,"Circaea lutetiana"
"454","CC96","Violasp.",2,"Viola"
"455","CC96","Claytoniavirginica",3,"Claytonia virginica"
"456","CC96","Arisaematriphyllum",2,"Arisaema triphyllum"
"457","CC96","Hackeliavirginiana",2,"Hackelia virginiana"
"458","CC96","POLBIF",2,"Polygonatum biflorum"
"459","CC96","Trilliumrecurvatum",2,"Trillium recurvatum"
"460","CC97","Claytoniavirginica",3,"Claytonia virginica"
"461","CC97","Erythroniumalbidum",1,"Erythronium albidum"
"462","CC97","Arisaematriphyllum",1,"Arisaema triphyllum"
"463","CC97","Alliariapetiolata",1,"Alliaria petiolata"
"464","CC97","Osmorhizasp.",1,"Osmorhiza"
"465","CC97","Smilacinaracemosa",1,"Maianthemum racemosum"
"466","CC99","Eupatoriumrugosum",2,"Ageratina altissima"
"467","CC99","Prunusserotina",3,"Prunus serotina"
"468","CC99","Parthenocissusquinquefolia",1,"Parthenocissus quinquefolia"
