,Original_name,Accepted_name,acceptedMOR,checklistMatch,notes,notesBy,noteDate,collectionPriority
62,Asarum canadense,Asarum canadense,Asarum canadense,Asarum canadense,,,,
65,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,,,,
66,Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,,,,
67,Asimina species,Asimina,Asimina triloba,Asimina triloba,,,,
68,Asimina triloba,Asimina triloba,Asimina triloba,Asimina triloba,,,,
69,Asplenium species,Asplenium,Asplenium,#N/A,,,,
70,Aster ericoides,Symphyotrichum ericoides,Symphyotrichum ericoides,#N/A,correct -- check name in checklist,ah,6/28/18,
71,Aster lateriflorus,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,#N/A,correct -- check name in checklist,ah,6/28/18,
72,Aster pilosus,Symphyotrichum pilosum,Symphyotrichum pilosum,#N/A,correct -- check name in checklist,ah,6/28/18,
73,Aster sagittifolius,Symphyotrichum undulatum,Symphyotrichum undulatum,#N/A,correct -- check name in checklist,ah,6/28/18,
74,Aster sagittifolius drummondii,Symphyotrichum drummondii,Symphyotrichum drummondii,#N/A,correct -- check name in checklist,ah,6/28/18,
75,Aster shortii,Symphyotrichum shortii,Symphyotrichum shortii,#N/A,correct -- check name in checklist,ah,6/28/18,
76,Aster sp.?,Aster,Symphyotrichum,#N/A,,,,
77,Aster species,Aster,Symphyotrichum,#N/A,,,,
78,B??,,0,#N/A,,,,
79,Barbarea vulgaris,Barbarea vulgaris,Barbarea vulgaris,Barbarea vulgaris,,,,
80,Berberis thunbergii,Berberis thunbergii,Berberis thunbergii,Berberis thunbergii,,,,
81,Bidens cernua,Bidens cernua,Bidens cernua,Bidens cernua,,,,
82,Bidens frondosa,Bidens frondosa,Bidens frondosa,Bidens frondosa,,,,
83,Bidens sp.,,Bidens,#N/A,,,,
84,Bidens species,,Bidens,#N/A,,,,
85,Boehmeria cylindrica,Boehmeria cylindrica,Boehmeria cylindrica,Boehmeria cylindrica,,,,
86,Brassica sp.,Brassica,Brassica,#N/A,,,,
87,Brassicaceae family,Brassicaceae,Brassicaceae,#N/A,,,,
88,Bromis inermis,Bromus inermis,Bromus inermis,Bromus inermis,,,,
89,Bromus inermis,Bromus inermis,Bromus inermis,Bromus inermis,,,,
90,Bromus sp.,Bromus,Bromus,#N/A,,,,
91,Cacalia atriplicifolia,Arnoglossum atriplicifolium,Arnoglossum atriplicifolium,#N/A,correct -- check name in checklist,ah,6/27/18,
92,Calaminta vulgaris,Clinopodium vulgare,Clinopodium vulgare,#N/A,on checklist as Satureja vulgaris,ah,6/27/18,
94,Camassia scilloides,Camassia scilloides,Camassia scilloides,Camassia scilloides,,,,
95,Cammassia?,Camassia,,#N/A,,,,
96,Campanula americana,Campanula americana,Campanula americana,Campanula americana,,,,
97,Cardamine canadensis,Cardamine,Cardamine,#N/A,,,,
98,Cardamine concatenata,Cardamine concatenata,Cardamine concatenata,Cardamine concatenata,,,,
99,Cardamine douglassii,Cardamine douglassii,Cardamine douglassii,Cardamine douglassii,,,,
100,Carex albursina,Carex albursina,Carex albursina,Carex albursina,,,,
101,Carex blanda,Carex blanda,Carex blanda,Carex blanda,,,,
102,Carex gravida,Carex gravida,Carex gravida,Carex gravida,,,,
103,Carex hirtifolia,Carex hirtifolia,Carex hirtifolia,Carex hirtifolia,,,,
104,Carex jamesii,Carex jamesii,Carex jamesii,Carex jamesii,,,,
105,Carex pensylvanica,Carex pensylvanica,Carex pensylvanica,Carex pensylvanica,,,,
106,Carex rosea,Carex rosea,Carex rosea,Carex rosea,,,,
107,Carex sp.,Carex,Carex,#N/A,,,,
108,Carex sp. #1,Carex,Carex,#N/A,,,,
109,Carex sp. #2,Carex,Carex,#N/A,,,,
110,Carex sp. #3,Carex,Carex,#N/A,,,,
111,Carex sparganioides,Carex sparganioides,Carex sparganioides,Carex sparganioides,,,,
112,Carex species,Carex,Carex,#N/A,,,,
113,Carex tribuloides,Carex tribuloides,Carex tribuloides,Carex tribuloides,,,,
115,Carex vulpinoidea,Carex vulpinoidea,Carex vulpinoidea,Carex vulpinoidea,,,,
116,Carya cordiformis,Carya cordiformis,Carya cordiformis,Carya cordiformis,,,,
117,Carya ovata,Carya ovata,Carya ovata,Carya ovata,,,,
118,Carya sp.,Carya,Carya,#N/A,,,,
119,Carya species,Carya,Carya,#N/A,,,,
120,Caulophyllum thalictroides,Caulophyllum thalictroides,Caulophyllum thalictroides,Caulophyllum thalictroides,,,,
121,Celastrus orbiculatus,Celastrus orbiculatus,Celastrus orbiculatus,#N/A,correct -- check name in checklist,ah,6/27/18,
122,Celastrus scandens,Celastrus scandens,Celastrus scandens,Celastrus scandens,,,,
123,Celtis occidentalis,Celtis occidentalis,Celtis occidentalis,Celtis occidentalis,,,,
124,Cerastium sp.,Cerastium,Cerastium,#N/A,,,,
125,Cerastrium sp.,Cerastium,Cerastium,#N/A,,,,
126,Cercis canadensis,Cercis canadensis,Cercis canadensis,Cercis canadensis,,,,
127,Chenopodium album,Chenopodium album,Chenopodium album,Chenopodium album,,,,
128,Chenopodium sp.,Chenopodium,Chenopodium,Chenopodium,,,,
129,Chrysanthemum leucanthemum,Leucanthemum vulgare,Leucanthemum vulgare,#N/A,correct -- check name in checklist,ah,6/27/18,
130,Chrysanthemum leucanthemum pinnatifidum,Leucanthemum vulgare,Leucanthemum vulgare,#N/A,correct -- check name in checklist,ah,6/27/18,
131,Circaea lutetiana,Circaea lutetiana,Circaea lutetiana,Circaea lutetiana,,,,
132,Circaea lutetiana canadensis,Circaea lutetiana subsp. canadensis,Circaea lutetiana,Circaea lutetiana,,,,
133,Cirsium arvense,Cirsium arvense,Cirsium arvense,Cirsium arvense,,,,
134,Cirsium sp.,Cirsium,Cirsium,#N/A,,,,
135,Cirsium vulgare,Cirsium vulgare,Cirsium vulgare,Cirsium vulgare,,,,
138,Claytonia virginica,Claytonia virginica,Claytonia virginica,Claytonia virginica,,,,
139,Clematis virginiana,Clematis virginiana,Clematis virginiana,Clematis virginiana,,,,
140,Composite,,,#N/A,,,,
141,Composite sp.,,,#N/A,,,,
142,Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis,,,,
143,Convolvulus sepium,Calystegia sepium,Calystegia sepium,Calystegia sepium,,,,
144,Convolvulus sp.,Convolvulus,Convolvulus,#N/A,,,,
145,Convolvulus species,Convolvulus,Convolvulus,#N/A,,,,
146,Convovulus sp.,Convolvulus,Convolvulus,#N/A,,,,
147,Coreopsis tripteris,Coreopsis tripteris,Coreopsis tripteris,Coreopsis tripteris,,,,
148,Cornus racemosa,Cornus racemosa,Cornus racemosa,Cornus racemosa,,,,
149,Cornus sp.,Cornus,Cornus,#N/A,,,,
150,Coronilla varia,Securigera varia,Securigera varia,#N/A,correct -- check name in checklist,ah,6/27/18,
151,Crataegus sp.,Crataegus,Crataegus,#N/A,,,,
152,Crataegus species,Crataegus,Crataegus,#N/A,,,,
153,Cryptotaenia canadensis,Cryptotaenia canadensis,Cryptotaenia canadensis,Cryptotaenia canadensis,,,,
154,Cystopteris protrusa,Cystopteris protrusa,Cystopteris protrusa,Cystopteris protrusa,,,,
155,Dactylis glomerata,Dactylis glomerata,Dactylis glomerata,Dactylis glomerata,,,,
156,Danthonia spicata,Danthonia spicata,Danthonia spicata,Danthonia spicata,,,,
157,Daucus carota,Daucus carota,Daucus carota,Daucus carota,,,,
158,Desmodium species,Desmodium,Desmodium,#N/A,,,,
159,Dicentra cucullaria,Dicentra cucullaria,Dicentra cucullaria,Dicentra cucullaria,,,,
160,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa,,,,
161,Dipsacus fullonum,Dipsacus fullonum,Dipsacus fullonum,#N/A,correct -- check name in checklist,ah,6/27/18,
162,Dipsacus laciniatus,Dipsacus laciniatus,Dipsacus laciniatus,Dipsacus laciniatus,,,,
163,Dipsacus sylvestris,Dipsacus fullonum,Dipsacus fullonum,#N/A,correct -- check name in checklist,ah,6/27/18,
164,Dodecatheon meadia,Dodecatheon meadia,Dodecatheon meadia,Dodecatheon meadia,,,,
165,Duchesnea indica,Duchesnea indica,Duchesnea indica,Duchesnea indica,,,,
166,Ellisia nyctelea,Ellisia nyctelea,Ellisia nyctelea,Ellisia nyctelea,,,,
167,Elmus hystrix,Elymus elymoides,Elymus hystrix,Elymus hystrix,Elymus hystrix is correct for this,ah,6/27/18,
168,Elymus hystrix,Elymus elymoides,Elymus hystrix,Elymus hystrix,Elymus hystrix is correct for this,ah,,
169,Elymus sp.,Elymus,Elymus,#N/A,,,,
170,Elymus villosus,Elymus villosus,Elymus villosus,Elymus villosus,,,,
171,Elymus virginicus,Elymus virginicus,Elymus virginicus,Elymus virginicus,,,,
172,Enemion biternatum,Enemion biternatum,Enemion biternatum,#N/A,correct -- check name in checklist,ah,6/27/18,
173,Epilobium coloratum,Epilobium coloratum,Epilobium coloratum,Epilobium coloratum,,,,
174,Equisetum arvense,Equisetum arvense,Equisetum arvense,Equisetum arvense,,,,
175,Erechtites hieracifolia,Erechtites hieraciifolius,Erechtites hieraciifolius,#N/A,correct -- check name in checklist,ah,6/27/18,
176,Erigeron annuus,Erigeron annuus,Erigeron annuus,Erigeron annuus,,,,
177,Erigeron canadensis,,Conyza canadensis,Conyza canadensis,added,ah,6/27/18,
178,Erigeron philadelphicus,Erigeron philadelphicus,Erigeron philadelphicus,Erigeron philadelphicus,,,,
179,Erigeron sp.,Erigeron,Erigeron,#N/A,,,,
180,Erigeron strigosus,Erigeron strigosus,Erigeron strigosus,Erigeron strigosus,,,,
181,Erythronium albidum,Erythronium albidum,Erythronium albidum,Erythronium albidum,,,,
182,Euonymus alatus,Euonymus alatus,Euonymus alatus,#N/A,correct -- check name in checklist,ah,6/27/18,
183,Euonymus atropurpureus,Euonymus atropurpureus,Euonymus atropurpureus,#N/A,correct -- check name in checklist,ah,6/27/18,
184,Euonymus europaeus,Euonymus europaeus,Euonymus europaeus,#N/A,correct -- check name in checklist,ah,6/27/18,
185,Euonymus sp.,Euonymus,Euonymus,#N/A,,,,
186,Euonymus species,Euonymus,Euonymus,#N/A,,,,
187,Eupatorium purpureum,Eupatorium purpureum,Eupatorium purpureum,Eupatorium purpureum,,,,
188,Eupatorium rugosum,Ageratina altissima,Ageratina altissima,#N/A,correct -- check name in checklist,ah,6/27/18,
189,Eupatorium sp.,Eupatorium,Eupatorium,#N/A,,,,
191,Festuca species,Festuca,Festuca,#N/A,,,,
192,Floerkea proserpinacoides,Floerkea proserpinacoides,Floerkea proserpinacoides,Floerkea proserpinacoides,,,,
193,Forb species,,,#N/A,,,,
195,Fragaria virginiana,Fragaria virginiana,Fragaria virginiana,Fragaria virginiana,,,,
196,Fraxinus,Fraxinus,Fraxinus,#N/A,,,,
197,Fraxinus - Collections,,,#N/A,,,,
198,Fraxinus americana,Fraxinus americana,Fraxinus americana,Fraxinus americana,,,,
199,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Fraxinus pennsylvanica,,,,
200,Fraxinus pennsylvanica subintegerrima,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Fraxinus pennsylvanica,,,,
201,Fraxinus quadrangulata,Fraxinus quadrangulata,Fraxinus quadrangulata,Fraxinus quadrangulata,,,,
202,Fraxinus seedling,Fraxinus,Fraxinus,#N/A,,,,
203,Fraxinus sp.,Fraxinus,Fraxinus,#N/A,,,,
204,Fraxinus species,Fraxinus,Fraxinus,#N/A,,,,
205,Galium aparine,Galium aparine,Galium aparine,Galium aparine,,,,
207,Galium circaezans,Galium circaezans,Galium circaezans,Galium circaezans,,,,
208,Galium obtusum,Galium obtusum,Galium obtusum,Galium obtusum,,,,
209,Galium sp.,Galium,Galium,#N/A,,,,
210,Galium species,Galium,Galium,#N/A,,,,
211,Galium triflorum,Galium triflorum,Galium triflorum,Galium triflorum,,,,
212,Geranium maculatum,Geranium maculatum,Geranium maculatum,Geranium maculatum,,,,
213,Germaniun maculatum,Geranium maculatum,Geranium maculatum,Geranium maculatum,,,,
214,Geum canadense,Geum canadense,Geum canadense,Geum canadense,,,,
215,Geum sp.,Geum,Geum,#N/A,,,,
216,Glechoma hederacea,Glechoma hederacea,Glechoma hederacea,Glechoma hederacea,,,,
217,Gleditsia triacanthos,,Gleditsia triacanthos,Gleditsia triacanthos,,,,
218,Glyceria striata,Glyceria striata,Glyceria striata,Glyceria striata,,,,
219,Grass species,Grias,,#N/A,,,,
220,Gymnocladus dioica,Gymnocladus dioica,Gymnocladus dioica,Gymnocladus dioica,,,,
221,Gymnocladus dioicus,Gymnocladus dioica,Gymnocladus dioica,Gymnocladus dioica,,,,
222,Hackelia virginiana,Hackelia virginiana,Hackelia virginiana,Hackelia virginiana,,,,
223,Hairy weed,,,#N/A,,,,
224,Helenium autumnale,Helenium autumnale,Helenium autumnale,Helenium autumnale,,,,
226,Helianthus grosseserratus,Helianthus grosseserratus,Helianthus grosseserratus,Helianthus grosseserratus,,,,
227,Helianthus sp.,,Helianthus,#N/A,,,,
228,Helianthus species,,Helianthus,#N/A,,,,
229,Helianthus strumosus,Helianthus strumosus,Helianthus strumosus,Helianthus strumosus,,,,
230,Hepatica acutiloba,Anemone hepatica var. acuta,Hepatica acutiloba,Hepatica acutiloba,nomenclature unclear to me,ah,6/27/18,
231,Hesperis matronalis,Hesperis matronalis,Hesperis matronalis,Hesperis matronalis,,,,
232,Hickory species,,Carya,#N/A,,,,
233,Hydrastis canadensis,Hydrastis canadensis,Hydrastis canadensis,Hydrastis canadensis,,,,
234,Hydrophyllum appendiculatum,Hydrophyllum appendiculatum,Hydrophyllum appendiculatum,Hydrophyllum appendiculatum,,,,
235,Hydrophyllum sp.,Hydrophyllum,Hydrophyllum,#N/A,,,,
236,Hydrophyllum virginianum,Hydrophyllum virginianum,Hydrophyllum virginianum,Hydrophyllum virginianum,,,,
237,Hystrix patula,Hystrix patula,Elymus hystrix,Elymus hystrix,,,,
238,Impatiens capensis,Impatiens capensis,Impatiens capensis,Impatiens capensis,,,,
239,Impatiens pallida,Impatiens pallida,Impatiens pallida,Impatiens pallida,,,,
240,Impatiens sp.,Impatiens,Impatiens,#N/A,,,,
241,Impatiens species,Impatiens,Impatiens,#N/A,,,,
242,Impatients sp.,Impatiens,Impatiens,#N/A,,,,
243,Isopyrum biternatum,Enemion biternatum,Enemion biternatum,#N/A,correct -- check name in checklist,ah,6/27/18,
244,Juglans cinerea,Juglans cinerea,Juglans cinerea,Juglans cinerea,,,,
245,Juglans nigra,Juglans nigra,Juglans nigra,Juglans nigra,,,,
246,Juncus dudleyi,Juncus dudleyi,Juncus dudleyi,Juncus dudleyi,,,,
247,Juncus sp.,Juncus,Juncus,#N/A,,,,
248,Juniperus virginiana,Juniperus virginiana,Juniperus virginiana,Juniperus virginiana,,,,
249,Lactuca canadensis,Lactuca canadensis,Lactuca canadensis,Lactuca canadensis,,,,
250,Lactuca floridana,Lactuca floridana,Lactuca floridana,Lactuca floridana,,,,
251,Lactuca serriola,Lactuca serriola,Lactuca serriola,Lactuca serriola,,,,
252,Lactuca sp.,,Lactuca,#N/A,,,,
253,Lactuca species,,Lactuca,#N/A,,,,
254,Laportea canadensis,Laportea canadensis,Laportea canadensis,Laportea canadensis,,,,
255,Leersia oryzoides,Leersia oryzoides,Leersia oryzoides,Leersia oryzoides,,,,
256,Leersia virginica,Leersia virginica,Leersia virginica,Leersia virginica,,,,
257,Ligusticum sp.,Ligusticum,Ligusticum,#N/A,,,,
258,Ligustrum species,Ligustrum,Ligustrum,#N/A,,,,
259,Liriodendron tulipifera,Liriodendron tulipifera,Liriodendron tulipifera,Liriodendron tulipifera,,,,
260,lonicera maackii,Lonicera maackii,Lonicera maackii,Lonicera maackii,,,,
261,Lonicera maackii,Lonicera maackii,Lonicera maackii,Lonicera maackii,,,,
262,Lonicera prolifera,Lonicera prolifera,Lonicera prolifera,Lonicera prolifera,,,,
263,Lonicera sp.,Lonicera,Lonicera,#N/A,,,,
264,Lonicera species,Lonicera,Lonicera,#N/A,,,,
265,Lonicera tatarica,Lonicera tatarica,Lonicera tatarica,Lonicera tatarica,,,,
266,Lycopus americanus,Lycopus americanus,Lycopus americanus,Lycopus americanus,,,,
267,Lysimachia ciliata,Lysimachia ciliata,Lysimachia ciliata,Lysimachia ciliata,,,,
268,Lythrum alatum,Lythrum alatum,Lythrum alatum,Lythrum alatum,,,,
269,Maclura pomifera,Maclura pomifera,Maclura pomifera,Maclura pomifera,,,,
270,Maianthemum racemosum,Maianthemum racemosum,Maianthemum racemosum,Maianthemum racemosum,,,,
271,MAIRAC,Marah,Maianthemum racemosum,Maianthemum racemosum,code,ah,6/27/18,
272,Malus sieboldii,Malus sieboldii,Malus sieboldii,Malus sieboldii,,,,
273,Malus sp.,Malus,Malus,#N/A,,,,
274,Malus species,Malus,Malus,#N/A,,,,
275,Melilotus alba,Melilotus officinalis subsp. alba,Melilotus officinalis,Melilotus officinalis,,,,
276,Melilotus officinalis,,Melilotus officinalis,Melilotus officinalis,,,,
277,Menispermum canadense,Menispermum canadense,Menispermum canadense,Menispermum canadense,,,,
278,Menispermum sp.,Menispermum,Menispermum canadense,Menispermum canadense,this is the only sp we have in the region,ah,6/27/18,
279,Mertensia virginica,Mertensia virginica,Mertensia virginica,Mertensia virginica,,,,
280,Mint species,,,#N/A,,,,
281,Monarda fistulosa,Monarda fistulosa,Monarda fistulosa,Monarda fistulosa,,,,
282,Morus alba,Morus alba,Morus alba,Morus alba,,,,
284,Morus sp.,Morus,Morus,#N/A,,,,
285,No data,,,#N/A,,,,
286,No trees,,,#N/A,,,,
287,No Trees,,,#N/A,,,,
288,NONE,Nonea,,#N/A,,,,
289,Onoclea sensibilis,Onoclea sensibilis,Onoclea sensibilis,Onoclea sensibilis,,,,
290,Osm. Sp.,Osa,,#N/A,,,,
291,Osmorhiza claytoniana,Osmorhiza,Osmorhiza claytonii,Osmorhiza claytonii,"Osmorhiza aristata var. aristata accepted in FNA, but for now I'm sticking with our original name",ah,6/27/18,
292,Osmorhiza claytonii,Osmorhiza aristata var. aristata,Osmorhiza claytonii,Osmorhiza claytonii,"Osmorhiza aristata var. aristata accepted in FNA, but for now I'm sticking with our original name",ah,6/27/18,
293,Osmorhiza longistylis,Osmorhiza longistylis,Osmorhiza longistylis,Osmorhiza longistylis,,,,
294,Osmorhiza sp.,Osmorhiza,Osmorhiza,#N/A,,,,
295,Osmunda claytoniana,Osmunda claytoniana,Osmunda claytoniana,#N/A,,,,
296,Ostrya virginiana,Ostrya virginiana,Ostrya virginiana,Ostrya virginiana,,,,
297,Oxalis europaea,Oxalis stricta,Oxalis stricta,Oxalis stricta,,,,
298,Oxalis sp.,Oxalis,Oxalis,#N/A,,,,
299,Oxalis stricta,Oxalis stricta,Oxalis stricta,Oxalis stricta,,,,
300,Panicum implicatum,Panicum acuminatum,Dichanthelium acuminatum,Dichanthelium acuminatum,,,,
301,Panicum species,Panicum,Panicum,#N/A,may just as easily be Dichanthelium,ah,6/27/18,
302,Panicum spretum,Panicum acuminatum,Dichanthelium acuminatum,Dichanthelium acuminatum,,,,
303,Parthenocissus quinquefolia,Parthenocissus quinquefolia,Parthenocissus quinquefolia,Parthenocissus quinquefolia,,,,
304,Parthenocissus sp.,Parthenocissus,Parthenocissus,#N/A,I would treat all Parthenocissus as one sp,ah,6/27/18,
305,Pastinaca sativa,Pastinaca sativa,Pastinaca sativa,Pastinaca sativa,,,,
306,Persicaria coccinea,Persicaria amphibia,Persicaria amphibia,#N/A,correct -- check name in checklist,ah,6/27/18,
307,Phalaris arundinacea,Phalaris arundinacea,Phalaris arundinacea,Phalaris arundinacea,,,,
308,Phellodendron amurense,Phellodendron amurense,Phellodendron amurense,Phellodendron amurense,,,,
309,Phleum pratense,Phleum pratense,Phleum pratense,Phleum pratense,,,,
